TABLE_NAME	COLUMN_NAME	COLUMN_TYPE	IS_NULLABLE	COLUMN_KEY	COLUMN_DEFAULT	COLLATION_NAME	COLUMN_COMMENT
bom_headers	bom_id	varchar(36)	NO	PRI	NULL	utf8mb4_unicode_ci	
bom_headers	tenant_id	varchar(36)	NO	MUL	NULL	utf8mb4_unicode_ci	
bom_headers	product_item_id	varchar(36)	NO		NULL	utf8mb4_unicode_ci	
bom_headers	bom_name	varchar(100)	NO		NULL	utf8mb4_unicode_ci	
bom_headers	bom_version	int(11)	NO		1	NULL	
bom_headers	is_default	tinyint(1)	NO		1	NULL	
bom_headers	is_active	tinyint(1)	NO		1	NULL	
bom_headers	memo	text	YES		NULL	utf8mb4_unicode_ci	
bom_headers	created_at	datetime(6)	NO		current_timestamp(6)	NULL	
bom_headers	updated_at	datetime(6)	NO		current_timestamp(6)	NULL	
bom_items	bom_item_id	varchar(36)	NO	PRI	NULL	utf8mb4_unicode_ci	
bom_items	bom_id	varchar(36)	NO	MUL	NULL	utf8mb4_unicode_ci	
bom_items	tenant_id	varchar(36)	NO	MUL	NULL	utf8mb4_unicode_ci	
bom_items	seq_no	int(11)	NO		1	NULL	
bom_items	material_item_id	varchar(36)	NO		NULL	utf8mb4_unicode_ci	
bom_items	qty	decimal(10,2)	NO		1.00	NULL	
bom_items	unit	varchar(20)	NO		'EA'	utf8mb4_unicode_ci	
bom_items	loss_rate	decimal(5,2)	NO		0.00	NULL	
bom_items	memo	varchar(200)	YES		NULL	utf8mb4_unicode_ci	
collections	collection_id	varchar(36)	NO	PRI	NULL	utf8mb4_unicode_ci	수금 PK
collections	tenant_id	varchar(36)	NO	MUL	NULL	utf8mb4_unicode_ci	테넌트 ID
collections	partner_id	varchar(36)	NO		NULL	utf8mb4_unicode_ci	거래처 ID
collections	collection_date	date	NO		NULL	NULL	수금일
collections	amount	decimal(15,2)	NO		NULL	NULL	수금액
collections	collection_method	varchar(20)	NO		'cash'	utf8mb4_unicode_ci	수금수단 (cash, bank_transfer, check, card, note)
collections	ref_doc_type	varchar(30)	YES		NULL	utf8mb4_unicode_ci	관련 문서유형 (delivery, tax_invoice 등)
collections	ref_doc_id	varchar(36)	YES		NULL	utf8mb4_unicode_ci	관련 문서 ID
collections	memo	varchar(500)	YES		NULL	utf8mb4_unicode_ci	비고
collections	is_active	tinyint(1)	NO		1	NULL	
collections	created_at	datetime(6)	NO		current_timestamp(6)	NULL	
collections	created_by	varchar(36)	YES		NULL	utf8mb4_unicode_ci	
collections	updated_at	datetime(6)	NO		current_timestamp(6)	NULL	
collections	updated_by	varchar(36)	YES		NULL	utf8mb4_unicode_ci	
employees	employee_id	varchar(36)	NO	PRI	NULL	utf8mb4_unicode_ci	
employees	tenant_id	varchar(36)	NO	MUL	NULL	utf8mb4_unicode_ci	
employees	user_id	varchar(36)	YES		NULL	utf8mb4_unicode_ci	
employees	emp_no	varchar(20)	NO		NULL	utf8mb4_unicode_ci	
employees	emp_name	varchar(50)	NO		NULL	utf8mb4_unicode_ci	
employees	dept_id	varchar(36)	YES		NULL	utf8mb4_unicode_ci	
employees	position	varchar(30)	YES		NULL	utf8mb4_unicode_ci	
employees	job_title	varchar(30)	YES		NULL	utf8mb4_unicode_ci	
employees	emp_type	longtext	NO		NULL	utf8mb4_unicode_ci	
employees	join_date	datetime(6)	NO		NULL	NULL	
employees	resign_date	datetime(6)	YES		NULL	NULL	
employees	birth_date	varchar(200)	YES		NULL	utf8mb4_unicode_ci	
employees	id_no_hash	varchar(256)	YES		NULL	utf8mb4_unicode_ci	
employees	phone	varchar(20)	YES		NULL	utf8mb4_unicode_ci	
employees	email	varchar(100)	YES		NULL	utf8mb4_unicode_ci	
employees	bank_name	varchar(30)	YES		NULL	utf8mb4_unicode_ci	
employees	bank_account	varchar(200)	YES		NULL	utf8mb4_unicode_ci	
employees	base_salary	varchar(200)	YES		NULL	utf8mb4_unicode_ci	
employees	is_active	tinyint(1)	NO		NULL	NULL	
employees	created_at	datetime(6)	NO		NULL	NULL	
employees	created_by	varchar(36)	YES		NULL	utf8mb4_unicode_ci	
employees	updated_at	datetime(6)	NO		NULL	NULL	
employees	updated_by	varchar(36)	YES		NULL	utf8mb4_unicode_ci	
employees	role	varchar(30)	NO		'sales_user'	utf8mb4_unicode_ci	???? ???? Role
employees	annual_leave_total	decimal(5,1)	NO		0.0	NULL	???? ?ο? ???ϼ?
employees	annual_leave_used	decimal(5,1)	NO		0.0	NULL	???? ???? ?ϼ?
employees	address	varchar(120)	YES		NULL	utf8mb4_unicode_ci	?? (SW_ADDR)
employees	zip_code	varchar(10)	YES		NULL	utf8mb4_unicode_ci	???? (SW_POSTNO)
employees	birth_calendar	tinyint(4)	YES		1	NULL	1=??, 2=??
employees	birth_lunar_converted	tinyint(4)	YES		0	NULL	?? ??
employees	home_phone	varchar(20)	YES		NULL	utf8mb4_unicode_ci	??? (SW_TEL)
employees	emergency_contact	varchar(30)	YES		NULL	utf8mb4_unicode_ci	????? (SW_TELem)
employees	memo	text	YES		NULL	utf8mb4_unicode_ci	?? (SW_REM)
employees	resident_no_encrypted	varbinary(255)	YES		NULL	NULL	???? AES-256 (SW_JUMIN, ???? ?127??164 + 4????)
