"File","Src","Dest"
"20260618_백오피스_통합스키마_설계안.md","docs/design","docs/설계/백오피스"
"20260619_AI챗봇_기능정의서.md","docs/design","docs/CS"
"20260619_AI챗봇_데이터설계서.md","docs/design","docs/CS"
"20260619_AI챗봇_요구사항정의서.md","docs/design","docs/CS"
"20260619_BYOK_키입력_토큰사용량_설계.md","docs/design","docs/설계/erp"
"20260619_CS챗봇_기능정의_하브루타_회의록.md","docs/design","docs/CS"
"20260619_설치연결축_봉합_PRD.md","docs/design","docs/설계/설치배포"
"20260623_출하DDL_동기화_검증_CI설계.md","docs/design","docs/설계/erp"
"20260628_AI_CS자동화_기획서_AI수석_CS팀장회의.md","docs/design","docs/CS"
"20260702_3시스템_연결축_정합설계서_전수조사기반.md","docs/design","docs/설계/erp"
"20260702_기기지문_origin격리_실측대본_샌드박스.md","docs/design","docs/설계/erp"
"20260702작1_접속기기슬롯_P0_지문근본결함_봉합작업지시서.md","docs/design","docs/설계/설치배포"
"20260702작2_접속기기슬롯_봉합검증_작업지시서.md","docs/design","docs/설계/설치배포"
"20260702작3_접속기기슬롯_신규구현_작업지시서.md","docs/design","docs/설계/설치배포"
"20260721_장애격리_설계원칙_PRD.md","docs/design","docs/설계/erp"
"20260721_장애격리_재설계서_매니저4인.md","docs/design","docs/설계/erp"
"20260724_UPDATE자동화_근본틀_설계종합_11인워크플로우.md","docs/design","docs/설계/업데이트배포"
"AI_CHATBOT_DESIGN.md","docs/design","docs/CS"
"API_SPEC.md","docs/design","docs/설계/erp"
"API_SPEC_BACKOFFICE.md","docs/design","docs/설계/백오피스"
"API_SPEC_LANDING.md","docs/design","docs/설계/랜딩"
"CLOUDFLARED_REPLICA_DESIGN.md","docs/design","docs/설계/erp"
"CONTROLLER_SKELETON_BACKOFFICE.md","docs/design","docs/설계/백오피스"
"CONTROLLER_SKELETON_LANDING.md","docs/design","docs/설계/랜딩"
"DATA_FLOW_HEADQUARTER.md","docs/design","docs/설계/erp"
"DB_SCHEMA_BACKOFFICE.md","docs/design","docs/설계/백오피스"
"DESIGN_PRINCIPLES.md","docs/design","docs/헌법"
"DOMAIN_MODEL_BACKOFFICE.md","docs/design","docs/설계/백오피스"
"DOMAIN_MODEL_LANDING.md","docs/design","docs/설계/랜딩"
"DOMAIN_MODEL_v1.1_결재반영.md","docs/design","docs/설계/erp"
"EIGHT_PROPOSITIONS_BACKOFFICE_LANDING.md","docs/design","docs/설계/랜딩"
"ERD.md","docs/design","docs/설계/erp"
"ERD_INTEGRATED.md","docs/design","docs/설계/erp"
"EVF_TEST_PLAN.md","docs/design","docs/설계/erp"
"FIGMA_DESIGN_PLAN.md","docs/design","docs/설계/erp"
"FOUR_AXIS_SEPARATION.md","docs/design","docs/설계/erp"
"FUNCTION_SPEC.md","docs/design","docs/설계/erp"
"HQ_META_PING_SCHEMA.md","docs/design","docs/설계/erp"
"INSTALLER_INNO_VELOPACK_SKELETON.md","docs/design","docs/설계/설치배포"
"MIDDLEWARE_TERMS_ENFORCEMENT.md","docs/design","docs/설계/erp"
"PAYMENT_INTERFACE.md","docs/design","docs/설계/erp"
"PRD_AI_CS_SYSTEM.md","docs/design","docs/CS"
"PRD_BACKOFFICE.md","docs/design","docs/설계/백오피스"
"PRD_ERP.md","docs/design","docs/설계/erp"
"PRD_LANDING.md","docs/design","docs/설계/랜딩"
"PRD_THREE_SYSTEMS.md","docs/design","docs/설계/erp"
"SCENARIO_20_VERIFY_SKELETON.md","docs/design","docs/설계/erp"
"SCREEN_SPEC.md","docs/design","docs/설계/erp"
"SEQUENCE_3SYSTEMS.md","docs/design","docs/설계/erp"
"STATE_MACHINE_SUBSCRIPTION.md","docs/design","docs/설계/erp"
"TABLE_SPEC.md","docs/design","docs/설계/erp"
"TENANT_ID_NULL_POLICY.md","docs/design","docs/설계/erp"
"THREE_SYSTEM_ARCHITECTURE.md","docs/design","docs/설계/erp"
"VELOPACK_PHASE2_INTEGRATION_PLAN.md","docs/design","docs/설계/erp"
"WATCHDOG_WS28_SKELETON.md","docs/design","docs/설계/erp"
"WIREFRAME_BACKOFFICE.md","docs/design","docs/설계/백오피스"
"WIREFRAME_LANDING.md","docs/design","docs/설계/랜딩"
"00_인덱스_어벤져스_학습가이드.md","docs/erp-handover","docs/개발/erp"
"01_요구사항정의서.md","docs/erp-handover","docs/개발/erp"
"02_기능차트.md","docs/erp-handover","docs/개발/erp"
"03_프로세스정의서.md","docs/erp-handover","docs/개발/erp"
"04_인터페이스정의서.md","docs/erp-handover","docs/개발/erp"
"05_기능정의서.md","docs/erp-handover","docs/개발/erp"
"06_UI설계서.md","docs/erp-handover","docs/개발/erp"
"07_ERD.md","docs/erp-handover","docs/개발/erp"
"08_테이블정의서.md","docs/erp-handover","docs/개발/erp"
"09_프로그램목록.md","docs/erp-handover","docs/개발/erp"
"10_개발표준정의서.md","docs/erp-handover","docs/개발/erp"
"11_단위테스트시나리오.md","docs/erp-handover","docs/개발/erp"
"12_통합테스트시나리오.md","docs/erp-handover","docs/개발/erp"
"13_소스코드_가이드.md","docs/erp-handover","docs/개발/erp"
"14_단위테스트결과서.md","docs/erp-handover","docs/개발/erp"
"15_결함오류보고서.md","docs/erp-handover","docs/운영기록"
"16_통합테스트결과서.md","docs/erp-handover","docs/개발/erp"
"17_시스템이행계획서.md","docs/erp-handover","docs/개발/erp"
"19_사용자매뉴얼.md","docs/erp-handover","docs/개발/erp"
"20_운영자매뉴얼.md","docs/erp-handover","docs/개발/erp"
"21_교육명세서.md","docs/erp-handover","docs/개발/erp"
"22_검사리스트.md","docs/erp-handover","docs/개발/erp"
"23_현재상태보고서.md","docs/erp-handover","docs/운영기록"
