TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
ai_conversations	user_id	fk_aiconv_user	users	user_id
ai_usage_logs	tenant_id	fk_aiusage_tenant	tenants	tenant_id
billing_invoices	tenant_id	fk_billing_invoices_tenant	tenants	tenant_id
bom_headers	tenant_id	fk_bom_headers_tenant	tenants	tenant_id
bom_items	bom_id	fk_bom_items_header	bom_headers	bom_id
commission_settlements	approved_by	fk_commission_settlements_admin	platform_admins	admin_id
commission_settlements	reseller_id	fk_commission_settlements_reseller	resellers	reseller_id
custom_order_specs	order_id	fk_cos_order	sales_orders	order_id
departments	tenant_id	fk_departments_tenant	tenants	tenant_id
employees	tenant_id	fk_employees_tenant	tenants	tenant_id
esign_records	user_id	fk_esign_user	users	user_id
esign_records	tenant_id	fk_esign_tenant	tenants	tenant_id
etax_send_history	tax_invoice_id	fk_etax_invoice	tax_invoices	invoice_id
inventory_lots	item_id	fk_lot_item	items	item_id
journal_entries	tenant_id	fk_journal_entries_tenant	tenants	tenant_id
journal_lines	entry_id	fk_jl_entry	journal_entries	entry_id
journal_lines	account_code	fk_jl_account	accounts	account_code
journal_lines	tenant_id	fk_jl_account	accounts	tenant_id
labor_contracts	tenant_id	fk_lc_tenant	tenants	tenant_id
material_price_history	item_id	fk_mph_item	items	item_id
migration_checkpoints	job_id	fk_checkpoint_job	migration_jobs	job_id
migration_errors	job_id	fk_error_job	migration_jobs	job_id
mold_assets	product_item_id	fk_mold_product	items	item_id
mold_production_log	mold_id	fk_mpl_mold	mold_assets	mold_id
partners	tenant_id	fk_partners_tenant	tenants	tenant_id
purchase_orders	partner_id	fk_po_partner	partners	partner_id
purchase_orders	tenant_id	fk_purchase_orders_tenant	tenants	tenant_id
purchase_order_items	po_id	fk_poi_header	purchase_orders	po_id
purchase_receipts	partner_id	fk_pr_partner	partners	partner_id
purchase_receipts	tenant_id	fk_purchase_receipts_tenant	tenants	tenant_id
purchase_receipt_items	receipt_id	fk_pri_header	purchase_receipts	receipt_id
reseller_accounts	reseller_id	fk_reseller_accounts_reseller	resellers	reseller_id
reseller_commissions	reseller_id	fk_reseller_commissions_reseller	resellers	reseller_id
sales_deliveries	partner_id	fk_sd_partner	partners	partner_id
sales_deliveries	tenant_id	fk_sales_deliveries_tenant	tenants	tenant_id
sales_delivery_items	delivery_id	fk_sdi_header	sales_deliveries	delivery_id
sales_orders	partner_id	fk_so_partner	partners	partner_id
sales_orders	tenant_id	fk_sales_orders_tenant	tenants	tenant_id
sales_order_items	order_id	fk_soi_header	sales_orders	order_id
sales_returns	partner_id	fk_sret_partner	partners	partner_id
sales_returns	delivery_id	fk_sret_delivery	sales_deliveries	delivery_id
sales_return_items	warehouse_id	fk_sri_warehouse	warehouses	warehouse_id
sales_return_items	delivery_item_id	fk_sri_delivery_item	sales_delivery_items	delivery_item_id
sales_return_items	return_id	fk_sri_return	sales_returns	return_id
sales_return_items	item_id	fk_sri_item	items	item_id
tax_invoices	delivery_id	fk_tax_invoices_delivery	sales_deliveries	delivery_id
tax_invoices	tenant_id	fk_tax_invoices_tenant	tenants	tenant_id
tenants	reseller_id	fk_tenants_reseller	resellers	reseller_id
tenant_devices	tenant_id	fk_device_tenant	tenants	tenant_id
tenant_devices	user_id	fk_device_user	users	user_id
users	tenant_id	fk_users_tenant	tenants	tenant_id
warehouses	tenant_id	fk_warehouses_tenant	tenants	tenant_id
work_in_process	item_id	fk_wip_item	items	item_id
