TABLE_NAME	INDEX_NAME	NON_UNIQUE	COLUMN_NAME	SEQ_IN_INDEX	INDEX_TYPE
accounts	idx_acc_parent	1	tenant_id	1	BTREE
accounts	idx_acc_parent	1	parent_code	2	BTREE
accounts	idx_acc_type	1	tenant_id	1	BTREE
accounts	idx_acc_type	1	account_type	2	BTREE
accounts	PRIMARY	0	tenant_id	1	BTREE
accounts	PRIMARY	0	account_code	2	BTREE
ai_conversations	fk_aiconv_user	1	user_id	1	BTREE
ai_conversations	idx_intent_helpful	1	intent	1	BTREE
ai_conversations	idx_intent_helpful	1	was_helpful	2	BTREE
ai_conversations	idx_tenant_user	1	tenant_id	1	BTREE
ai_conversations	idx_tenant_user	1	user_id	2	BTREE
ai_conversations	idx_tenant_user	1	created_at	3	BTREE
ai_conversations	PRIMARY	0	conv_id	1	BTREE
ai_usage_logs	idx_tenant_date	1	tenant_id	1	BTREE
ai_usage_logs	idx_tenant_date	1	created_at	2	BTREE
ai_usage_logs	idx_tenant_ym	1	tenant_id	1	BTREE
ai_usage_logs	idx_tenant_ym	1	ym	2	BTREE
ai_usage_logs	PRIMARY	0	usage_id	1	BTREE
approval_documents	idx_requester	1	tenant_id	1	BTREE
approval_documents	idx_requester	1	requester_id	2	BTREE
approval_documents	idx_requester	1	status	3	BTREE
approval_documents	idx_status	1	tenant_id	1	BTREE
approval_documents	idx_status	1	status	2	BTREE
approval_documents	PRIMARY	0	approval_id	1	BTREE
approval_documents	uq_tenant_ref	0	tenant_id	1	BTREE
approval_documents	uq_tenant_ref	0	doc_type	2	BTREE
approval_documents	uq_tenant_ref	0	ref_id	3	BTREE
approval_doc_lines	idx_approval_doc_lines_tenant_doc	1	tenant_id	1	BTREE
approval_doc_lines	idx_approval_doc_lines_tenant_doc	1	doc_type	2	BTREE
approval_doc_lines	idx_approval_doc_lines_tenant_doc	1	seq_no	3	BTREE
approval_doc_lines	PRIMARY	0	line_id	1	BTREE
approval_history	idx_approval	1	tenant_id	1	BTREE
approval_history	idx_approval	1	approval_id	2	BTREE
approval_history	idx_approver_action	1	tenant_id	1	BTREE
approval_history	idx_approver_action	1	approver_id	2	BTREE
approval_history	idx_approver_action	1	action	3	BTREE
approval_history	PRIMARY	0	history_id	1	BTREE
approval_lines	idx_approval_lines_tenant	1	tenant_id	1	BTREE
approval_lines	PRIMARY	0	approval_line_id	1	BTREE
approval_line_steps	idx_approval_line_steps_tenant_line	1	tenant_id	1	BTREE
approval_line_steps	idx_approval_line_steps_tenant_line	1	approval_line_id	2	BTREE
approval_line_steps	PRIMARY	0	step_id	1	BTREE
approval_settings	PRIMARY	0	setting_id	1	BTREE
approval_settings	uq_tenant_doctype	0	tenant_id	1	BTREE
approval_settings	uq_tenant_doctype	0	doc_type	2	BTREE
attendance	idx_att_tenant_emp	1	tenant_id	1	BTREE
attendance	idx_att_tenant_emp	1	employee_id	2	BTREE
attendance	PRIMARY	0	attendance_id	1	BTREE
attendance	uq_att_date	0	tenant_id	1	BTREE
attendance	uq_att_date	0	employee_id	2	BTREE
attendance	uq_att_date	0	work_date	3	BTREE
audit_logs	idx_created	1	created_at	1	BTREE
audit_logs	idx_ip	1	ip_address	1	BTREE
audit_logs	idx_tenant	1	tenant_id	1	BTREE
audit_logs	idx_user	1	user_id	1	BTREE
audit_logs	PRIMARY	0	log_id	1	BTREE
audit_trail	idx_at_tenant_date	1	tenant_id	1	BTREE
audit_trail	idx_at_tenant_date	1	created_at	2	BTREE
audit_trail	idx_at_tenant_entity	1	tenant_id	1	BTREE
audit_trail	idx_at_tenant_entity	1	entity_type	2	BTREE
audit_trail	idx_at_tenant_entity	1	entity_id	3	BTREE
audit_trail	idx_at_user	1	tenant_id	1	BTREE
audit_trail	idx_at_user	1	user_id	2	BTREE
audit_trail	PRIMARY	0	log_id	1	BTREE
backoffice_refresh_tokens	idx_brt_expires	1	expires_at	1	BTREE
backoffice_refresh_tokens	idx_brt_user	1	user_id	1	BTREE
backoffice_refresh_tokens	PRIMARY	0	token_id	1	BTREE
backup_history	ix_backup_history_tenant_started	1	tenant_id	1	BTREE
backup_history	ix_backup_history_tenant_started	1	started_at	2	BTREE
backup_history	PRIMARY	0	backup_id	1	BTREE
backup_settings	PRIMARY	0	tenant_id	1	BTREE
bank_transactions	ix_banktx_tenant_account_date	1	tenant_id	1	BTREE
bank_transactions	ix_banktx_tenant_account_date	1	account_no	2	BTREE
bank_transactions	ix_banktx_tenant_account_date	1	tx_date	3	BTREE
bank_transactions	ix_banktx_tenant_date	1	tenant_id	1	BTREE
bank_transactions	ix_banktx_tenant_date	1	tx_date	2	BTREE
bank_transactions	ix_banktx_tenant_partner	1	tenant_id	1	BTREE
bank_transactions	ix_banktx_tenant_partner	1	partner_id	2	BTREE
bank_transactions	PRIMARY	0	bank_tx_id	1	BTREE
beta_signups	PRIMARY	0	signup_id	1	BTREE
billing_invoices	ix_billing_invoice_subscription	1	tenant_id	1	BTREE
billing_invoices	ix_billing_invoice_subscription	1	subscription_id	2	BTREE
billing_invoices	ix_billing_invoice_tenant_status	1	tenant_id	1	BTREE
billing_invoices	ix_billing_invoice_tenant_status	1	status	2	BTREE
billing_invoices	ix_billing_invoice_tenant_status	1	issued_at	3	BTREE
billing_invoices	PRIMARY	0	invoice_id	1	BTREE
billing_invoices	uk_billing_invoice_no	0	tenant_id	1	BTREE
billing_invoices	uk_billing_invoice_no	0	invoice_no	2	BTREE
billing_payment_attempts	ix_billing_attempt_invoice	1	tenant_id	1	BTREE
billing_payment_attempts	ix_billing_attempt_invoice	1	invoice_id	2	BTREE
billing_payment_attempts	ix_billing_attempt_invoice	1	attempted_at	3	BTREE
billing_payment_attempts	ix_billing_attempt_status	1	tenant_id	1	BTREE
billing_payment_attempts	ix_billing_attempt_status	1	status	2	BTREE
billing_payment_attempts	ix_billing_attempt_status	1	attempted_at	3	BTREE
billing_payment_attempts	PRIMARY	0	attempt_id	1	BTREE
billing_payment_methods	ix_billing_pm_provider	1	tenant_id	1	BTREE
billing_payment_methods	ix_billing_pm_provider	1	provider	2	BTREE
billing_payment_methods	ix_billing_pm_tenant_active	1	tenant_id	1	BTREE
billing_payment_methods	ix_billing_pm_tenant_active	1	is_active	2	BTREE
billing_payment_methods	ix_billing_pm_tenant_active	1	is_default	3	BTREE
billing_payment_methods	PRIMARY	0	payment_method_id	1	BTREE
billing_settings	PRIMARY	0	setting_id	1	BTREE
billing_settings	uk_billing_settings_tenant	0	tenant_id	1	BTREE
